Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=ASHP, SEER 10, 6.2 HSPF	Option=ASHP, SEER 13, 7.7 HSPF	Option=ASHP, SEER 15, 8.5 HSPF	resstock_probability
CR02	1970s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.001075345194801402
CR02	1970s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1970s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.634000713600002e-05
CR02	1970s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009109760828160003
CR02	1980s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.00038309932527637243
CR02	1980s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	1.131257299072642e-05
CR02	1980s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.006692856517363631
CR02	1980s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.001114204588558017
CR02	1980s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1980s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	8.962092860800002e-05
CR02	1980s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010899190156800004
CR02	1990s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0004293614152017716
CR02	1990s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	1.1938461754929533e-05
CR02	1990s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
