Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Option=No	Option=Yes	Count	Weight	resstock_probability
CR02	1950s	Natural Gas	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Natural Gas	Only Heating Shared	1.0	0.0	4.0	31711.59579	0.00024160620734400007
CR02	1950s	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	None	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Other Fuel	Neither Shared	1.0	0.0	1.0	10505.26849	0.00010352000000000003
CR02	1950s	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Other Fuel	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Propane	Neither Shared	1.0	0.0	9.0	66435.42553	0.0012422400000000006
CR02	1950s	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Propane	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.00010903475992000001
CR02	1960s	Electricity	Neither Shared	0.845374	0.15462599999999999	11.0	70869.26311	0.006901291786200001
CR02	1960s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	6.784342476000001e-05
CR02	1960s	Electricity	Only Heating Shared	1.0	0.0	4.0	23906.456430000002	0.00029243002912
CR02	1960s	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Fuel Oil	Neither Shared	1.0	0.0	4.0	33089.9291	0.0
CR02	1960s	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Fuel Oil	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Natural Gas	Both Shared	1.0	0.0	0.0	0.0	3.5582244072e-05
CR02	1960s	Natural Gas	Neither Shared	1.0	0.0	62.0	405601.651	0.0010147012461360003
CR02	1960s	Natural Gas	Only Cooling Shared	1.0	0.0	1.0	8639.692398000001	1.0068872160000002e-05
CR02	1960s	Natural Gas	Only Heating Shared	1.0	0.0	9.0	54107.87747000001	0.00022328763763200003
