Dependency=HVAC System Cooling Type	Option=None	Option=Heat Pump	Option=Shared	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=FIXME Room AC, EER 8.5, 20% Conditioned	Option=FIXME Room AC, EER 10.7, 20% Conditioned	resstock_probability
None	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.17837500000000006
Heat Pump	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.28650000000000003
Shared Cooling	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.17837500000000006
Central	0	0	0	0.25	0.25	0.25	0.25	0.0	0.0	0.17837500000000006
Room AC	0	0	0	0.0	0.0	0.0	0.0	0.5	0.5	0.17837500000000006
